Name	ID	State	Network	County	Elevation_ft	Latitude	Longitude	HUC	Date_of_Data	Date_Report_Created	Value_inches	Percent_NRCS_1981_2010_Average	Percent_NRCS_1981_2010_Median	Percent_of_POR_Average	Percent_of_POR_Median	Percent_of_Water_Year_Peak	Percent_of_Average_Water_Year_Peak_POR	Percent_of_Median_Water_Year_Peak_POR	POR_Median_Departure_inches	Percentile_POR	Maximum_Rank_POR	Minimum_Rank_POR	Records_POR	Percent_of_Saturation	NRCS_1981_2010_Average_inches	NRCS_1981_2010_Median_inches	POR_Average_inches	POR_Median_inches	Minimum_POR_inches	Maximum_POR_inches	Year_of_Minimum_POR	Year_of_Maximum_POR	Number_of_Observations_POR	Saturation_inches
Santaquin Meadows	"1280	"	Utah	SNOTEL	Utah	7835	39.92076	-111.71802	"160202010301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.3			129	100	100	113	113	0	50	2	2					14.97	19.3	6.2	19.4	2018	2017	3	
Santiam Jct.	"733	"	Oregon	SNOTEL	Linn	3740	44.43503	-121.94502	"170900040201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.5	70	68	78	84	100	60	58	-2	43	24	18			15	15.5	13.48	12.5	0	34	2015	2008	41	
Sargents Mesa	"1128	"	Colorado	SNOTEL	Saguache	11530	38.28555	-106.37069	"130100040306	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.2			122	110	100	86	84	0.8	90	2	9	2nd Highest				7.52	8.4	4.6	10.8	2013	2016	11	
Sasse Ridge	"734	"	Washington	SNOTEL	Kittitas	4340	47.38485	-121.06323	"170300010104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.1	85	90	90	93	99	66	71	-1.7	35	23	13			27.1	25.8	25.77	24.8	8.8	49	2005	1997	35	
Satus Pass	"1231	"	Washington	SNOTEL	Klickitat	3960	45.98797	-120.67734	"170701060301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.8			129	107	100	107	104	0.6	67	3	5					7.6	9.2	0	12.7	2015	2017	7	
Savage Pass	"735	"	Idaho	SNOTEL	Idaho	6190	46.46633	-114.63333	"170603030208	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.8	92	92	91	91	99	66	69	-1.7	33	25	13			19.3	19.3	19.59	19.5	11.3	32.1	2005	1997	37	
Sawmill	"SWM	"	California	Cooperator Snow Sensors	Inyo	10200	37.162	-118.562	"180901020601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	12.05	11.7	1.3	33	1991	2017	29	
Sawmill Ridge	"1068	"	Washington	SNOTEL	King	4640	47.15992	-121.42172	"171100130104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22.1			75	75	100	49	52	-7.5	8	12	2	2nd Lowest				29.6	29.6	2.3	47.5	2015	2008	13	
Sawtooth	"1251	"	Colorado	SNOTEL	Boulder	9620	40.13697	-105.58625	"101900050102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.1			124	143	100	91	91	7	75	2	4	2nd Highest				18.56	16.1	13.7	24.3	2018	2017	5	
Schneider Meadows	"736	"	Oregon	SNOTEL	Baker	5400	45.00107	-117.16522	"170502010603	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	30.2	124	124	127	128	100	103	103	6.55	86	6	33			24.4	24.3	23.69	23.65	12.7	39.9	2005	1999	38	
Schneiders	"SCN	"	California	Cooperator Snow Sensors	El Dorado	8750	38.747	-120.068	"180201290301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	32.57	31.3	7.4	68.1	1977	2017	45	
Schofield Pass	"737	"	Colorado	SNOTEL	Gunnison	10700	39.01522	-107.04877	"140100040701	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	26.8	106	114	107	114	100	70	74	3.3	61	14	21			25.2	23.6	25.07	23.5	15.4	41.1	2015	1986	34	
Schwartz Lake	"915	"	Idaho	SNOTEL	Lemhi	8630	44.84618	-113.83732	"170602040604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.7	88	88	87	93	99	55	54	-0.5	26	18	7			7.6	7.6	7.74	7.2	4.4	13.1	2002	1997	24	
Schweitzer Basin	"738	"	Idaho	SNOTEL	Bonner	6090	48.37428	-116.63917	"170102150502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	36	98	99	97	98	100	69	71	-0.9	44	21	17			36.8	36.2	37.08	36.9	14.2	65.8	2001	1999	37	
Scotch Creek	"739	"	Colorado	SNOTEL	Dolores	9100	37.64556	-108.00786	"140300020204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.9	112	121	115	121	100	88	95	1.9	69	11	23			9.7	9	9.5	9	3.8	19.4	2018	1993	33	
Scott Mountain	"SCT	"	California	Cooperator Snow Sensors	Siskiyou	5900	41.272	-122.718	"180102080103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	16.52	16.9	0.7	34.9	2018	1998	31	
Secesh Summit	"740	"	Idaho	SNOTEL	Valley	6540	45.18848	-115.97152	"170501230101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	24.6	100	99	101	101	100	74	75	0.35	54	18	21			24.6	24.8	24.29	24.25	11.8	40.7	2001	1997	38	
Sedgwick Peak	"741	"	Idaho	SNOTEL	Bannock	7850	42.52497	-111.95635	"170402080209	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.9	114	113	115	129	100	83	88	3.8	67	11	21			14.8	14.9	14.67	13.1	8.6	28.1	2001	1997	31	
Seeley Creek	"742	"	Utah	SNOTEL	Sanpete	9904	39.31042	-111.43297	"140600090203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.8	110	124	113	129	100	71	83	2.65	69	13	28			10.7	9.5	10.48	9.15	3.6	19.3	2018	1984	40	
Seine Creek	"743	"	Oregon	SNOTEL	Washington	2060	45.52688	-123.29857	"170900100203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.2	233		274	"2,800"	100	104	111	4.05	86	6	33			1.8	0	1.53	0.15	0	12.2	"2015, 2016, 2017, more"	1990	38	
Senorita Divide #2	"744	"	New Mexico	SNOTEL	Rio Arriba	8600	36.00198	-106.83348	"130202020102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.8	91	93	98	99	100	74	74	-0.1	47	21	19			7.5	7.3	6.95	6.9	0.5	14.2	2006	1993	39	
Sentinel Butte	"1043	"	Washington	SNOTEL	Ferry	4680	48.86133	-118.39843	"170200021705	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.8	140	136	128	135	100	90	93	2.55	80	4	13			7	7.2	7.67	7.25	4.1	13.1	2005	2016	16	
Sevenmile Marsh	"745	"	Oregon	SNOTEL	Klamath	5700	42.69825	-122.14165	"180102030104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	24.6	98	90	106	110	100	78	76	2.3	53	19	21			25.2	27.3	23.29	22.3	0	38.4	2015	1989	39	
Seventysix Creek	"746	"	Nevada	SNOTEL	Elko	7350	41.73732	-115.47215	"170501020108	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.1	136	135	141	152	100	112	114	4.5	83	8	34			9.6	9.7	9.26	8.6	2.5	21.3	2018	1984	41	
Shanghi Summit	"747	"	Idaho	SNOTEL	Clearwater	4600	46.56603	-115.74216	"170603070602	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															21.1	20.1	20.27	19.7	6.5	34.7	2005	1997	35	
Sharkstooth	"1060	"	Colorado	SNOTEL	Montezuma	10720	37.50357	-108.11373	"140300020206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.6	95	94	99	100	100	72	80	0	50	8	8			15.3	15.6	14.7	14.6	6.2	25.5	2006	2017	15	
Shedin Creek	"4B16P	"	British Columbia	Cooperator Snow Sensors	"	"	4331	55.85	-127.68333	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	24.3	25.2	0	36.3	2008	2012	23	
Sheep Canyon	"748	"	Washington	SNOTEL	Cowlitz	3990	46.19325	-122.25393	"170800050601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	26.6	97	104	98	103	100	64	66	0.85	54	17	20			27.5	25.5	27.19	25.75	0	61.5	2015	1999	36	
Sheep Mtn.	"749	"	Idaho	SNOTEL	Bingham	6650	43.2103	-111.68792	"170402050304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.6	116	119	117	119	100	95	93	2.05	77	9	28			10.9	10.6	10.76	10.55	5.4	19.8	1992	1997	36	
Sheldon	"750	"	Nevada	SCAN	Washoe	5865	41.90435	-119.44464	"171200080106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	0.1	14		21	100	14	7	9	0	61	12	15			0.7	0	0.48	0.1	0	4.3	"2016, 2017, 2018, more"	1993	29	
Shell Creek	"751	"	Wyoming	SNOTEL	Big Horn	9580	44.50012	-107.42947	"100800100101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.5	96	100	96	99	98	56	56	-0.1	46	22	19			10.9	10.5	10.99	10.6	6.8	17.1	1989	2018	40	
Sherwin	"752	"	Idaho	SNOTEL	Latah	3200	46.95028	-116.33972	"170103040703	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.2	99	103	103	105	99	86	96	0.4	58	16	20			9.3	8.9	8.95	8.8	0.2	16.9	2015	1997	37	
Shimmy Lake	"SHM	"	California	Cooperator Snow Sensors	Trinity	6400	41.008	-122.8	"180102110501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	33.52	35	0.7	63	2018	2004	25	
Short Creek	"753	"	Montana	SNOTEL	Madison	7000	44.97572	-111.95215	"100200030106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.6	112	112	110	110	100	74	74	0.4	77	8	21			4.1	4.1	4.17	4.2	2.8	5.7	2009	"1992, 1997, 2011"	31	
Shower Falls	"754	"	Montana	SNOTEL	Gallatin	8100	45.40125	-110.95758	"100200081001	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.3	114	118	106	114	100	59	62	2.1	68	18	37			15.2	14.7	16.3	15.2	11.3	26.4	1989	1997	54	
Shuree	"1169	"	New Mexico	SNOTEL	Colfax	10100	36.78778	-105.23999	"130201010102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.9			159	157	100	132	129	2.5	88	2	8	2nd Highest				4.34	4.4	0.3	9	2014	2017	9	
Sierra Blanca	"1034	"	New Mexico	SNOTEL	Lincoln	10280	33.40472	-105.78722	"130600080103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	2.5	22	26	30	39	52	23	26	-3.9	13	15	3			11.4	9.8	8.36	6.4	0	21.4	2006	2010	17	
Signal Peak	"755	"	New Mexico	SNOTEL	Grant	8360	32.92401	-108.14538	"150400010803	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	0	0	0	0	0	0	0	0	-2.9	18	32	1	Lowest		5.1	4	4.18	2.9	0	12.4	"2016, 2018, 2019, more"	1985	39	
Silver Creek	"756	"	Oregon	SNOTEL	Lake	5740	42.95615	-121.18123	"171200050206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.5	106	105	114	109	99	90	92	0.9	63	15	25			9.9	10	9.21	9.6	0	21.4	2015	1999	39	
Silver Creek Divide	"757	"	New Mexico	SNOTEL	Catron	9000	33.37106	-108.70618	"150400040605	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.8	82	88	89	92	93	69	79	-0.6	45	22	17			8.3	7.7	7.66	7.4	0	19.8	2000	1985	39	
Silver Lake	"SIL	"	California	Cooperator Snow Sensors	El Dorado	7100	38.678	-120.118	"180201290102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	18.49	18.3	0.5	38.9	2015	1993	32	
Silvies	"759	"	Oregon	SNOTEL	Harney	6990	42.75333	-118.68785	"171200030201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.2	91	90	99	100	100	68	71	0	51	20	20			13.4	13.5	12.39	12.2	3.4	31.1	2015	1983	40	
Skalkaho Summit	"760	"	Montana	SNOTEL	Granite	7250	46.24212	-113.7725	"170102021003	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.3	91	94	90	94	100	63	64	-1	31	30	14			16.9	16.2	17.09	16.3	7.6	31.1	1977	1997	43	
Skate Creek	"1257	"	Washington	SNOTEL	Lewis	3770	46.64336	-121.83044	"170800040505	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22.8			122	100	100	101	84	0	50	3	3					18.7	22.8	0	25.9	2015	2017	5	
Skookum Creek	"912	"	Washington	SNOTEL	King	3310	47.68433	-121.61007	"171100100503	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	21.1	100	86	91	79	100	54	51	-5.55	39	15	10			21.1	24.5	23.24	26.65	0	57.3	"2010, 2015"	2008	24	
Slate Creek	"SLT	"	California	Cooperator Snow Sensors	Shasta	5700	41.045	-122.478	"180200050304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	22.97	23.5	0	75.2	"2014, 2015"	1998	33	
Sleeping Woman	"783	"	Montana	SNOTEL	Sanders	6150	47.17902	-114.33368	"170102120708	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12	101	106	100	103	99	71	78	0.35	56	13	16			11.9	11.3	12.05	11.65	6.7	22.5	2005	1997	28	
Slide Canyon	"SLI	"	California	Cooperator Snow Sensors	Tuolumne	9200	38.092	-119.43	"180400090501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	31.39	28.7	7.4	67	1991	2017	32	
Slug Creek Divide	"761	"	Idaho	SNOTEL	Caribou	7225	42.56248	-111.29797	"170402070201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14	115	127	112	125	100	84	92	2.8	71	12	27			12.2	11	12.47	11.2	7.2	23.5	"1992, 2001"	1986	39	
Slumgullion	"762	"	Colorado	SNOTEL	Hinsdale	11560	37.9908	-107.20327	"140200020502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.1	122	123	121	121	100	80	82	2.1	82	8	32			9.9	9.8	9.98	10	3.8	15.5	1981	1997	39	
Smiley Mountain	"926	"	Idaho	SNOTEL	Custer	9520	43.72718	-113.83402	"170402180102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.8	93	96	98	105	100	60	63	0.6	65	7	11			13.7	13.3	13.03	12.2	9	25.2	2012	2017	18	
Smith  Morehouse	"763	"	Utah	SNOTEL	Summit	7631	40.78931	-111.09192	"160201010203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.7	115	113	117	115	100	86	89	1.7	65	15	27			11	11.2	10.87	11	4.6	16.9	2018	1997	41	
Smith Ridge	"1167	"	Oregon	SNOTEL	Linn	3270	44.30325	-122.04053	"170900040203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.2			150	295	100	74	81	4.1	71	3	6					4.14	2.1	0	11.2	2015	2013	8	
Snake River Station	"764	"	Wyoming	SNOTEL	Teton	6920	44.13361	-110.66917	"170401010402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14	102	103	101	101	100	79	80	0.1	59	13	16			13.7	13.6	13.91	13.9	7.2	25.1	2010	1997	30	
Snow Mountain	"767	"	Oregon	SNOTEL	Harney	6230	43.94885	-119.54013	"171200020501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.9	117	133	122	136	100	84	82	2.9	65	15	26			9.3	8.2	8.93	8	2.8	17.8	1991	1984	41	
Snow Mountain	"SNM	"	California	Cooperator Snow Sensors	Shasta	5950	40.778	-121.782	"180200031102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	21.68	19.9	0	51.8	1991	1993	35	
Snowbird	"766	"	Utah	SNOTEL	Salt Lake	9177	40.56914	-111.65852	"160202040202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	36.6	132	145	134	154	100	81	91	12.85	76	8	23			27.7	25.2	27.4	23.75	15.3	48.3	2003	2005	30	
Snowslide Canyon	"927	"	Arizona	SNOTEL	Coconino	9730	35.3416	-111.65058	"150200160201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	21.8	130	168	151	179	100	118	132	9.65	81	5	18			16.8	13	14.48	12.15	3	33.5	2006	2005	22	
Snyder Basin	"765	"	Wyoming	SNOTEL	Sublette	8060	42.4949	-110.53203	"140401010906	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.9	86	98	84	91	100	63	69	-0.85	41	23	14			10.3	9.1	10.61	9.75	5.6	20.7	1981	1997	38	
Soldier Park	"1132	"	Wyoming	SNOTEL	Johnson	8720	44.34847	-107.0136	"100902060103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	2.8			51	55	78	27	27	-2.3	25	7	3					5.51	5.1	2.1	9.8	2016	2012	9	
Soldier R.S.	"769	"	Idaho	SNOTEL	Camas	5740	43.48407	-114.82692	"170402200303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.5	141	146	145	156	98	128	122	5.2	81	7	27			10.3	9.9	10.02	9.3	2.7	19.6	2018	2017	33	
Somsen Ranch	"770	"	Idaho	SNOTEL	Caribou	6800	42.95275	-111.35933	"170402070101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.4	119	120	121	125	99	96	98	2.5	82	8	31			10.4	10.3	10.26	9.9	5.4	18	1981	1997	39	
Sonora Pass	"771	"	California	SNOTEL	Mono	8770	38.31021	-119.6003	"160503020104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	31.8	162	180	163	178	100	115	123	13.9	88	6	36			19.6	17.7	19.46	17.9	3	41	1991	2017	41	
Sourdough Gulch	"985	"	Washington	SNOTEL	Asotin	4000	46.23718	-117.39438	"170601030202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.6	200	"1,150"	260	767	100	153	236	4	89	3	17			2.3	0.4	1.77	0.6	0	13.4	"2010, 2015, 2016, more"	2008	19	
South Brush Creek	"772	"	Wyoming	SNOTEL	Carbon	8440	41.32943	-106.50248	"101800020303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8	89	86	90	90	100	60	63	-0.9	37	25	15			9	9.3	8.9	8.9	4.5	14	1981	2011	39	
South Colony	"773	"	Colorado	SNOTEL	Custer	10800	37.96811	-105.53787	"110200011206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.1	105	101	112	108	100	70	67	1.05	74	8	21			13.4	13.9	12.6	13.05	5.8	25.2	2018	2008	28	
South Fork Bull Run	"925	"	Oregon	SNOTEL	Clackamas	2690	45.44575	-122.03125	"170800010504	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.9	230	"1,100"	216	450	100	110	130	7.7	86	4	19			4.3	0.9	4.59	2.2	0	27.4	"2005, 2010, 2015, more"	2008	22	
South Lake	"SLK	"	California	Cooperator Snow Sensors	Inyo	9600	37.176	-118.562	"180901020601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	13.14	10.7	1.7	32.8	1991	2017	37	
South Mtn.	"774	"	Idaho	SNOTEL	Owyhee	6500	42.76478	-116.90037	"170501080205	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.6	93	103	102	113	100	79	81	1.7	62	15	23			15.7	14.2	14.28	12.9	3.4	26.8	"2015, 2018"	1989	38	
South Pass	"775	"	Wyoming	SNOTEL	Fremont	9040	42.57317	-108.84325	"100800030101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.5	87	99	89	99	98	58	63	-0.1	48	18	16			12.1	10.6	11.79	10.6	7.1	26.3	2016	1986	34	
Spencer Meadow	"776	"	Washington	SNOTEL	Skamania	3400	46.1795	-121.92661	"170800020108	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.2	68	67	74	84	100	53	56	-3.5	37	23	14			26.7	27.1	24.75	21.7	0	57.4	2015	1999	36	
Spirit Lake	"777	"	Washington	SNOTEL	Skamania	3520	46.26113	-122.1772	"170800050502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															6.8	4.4	6.43	3.95	0	22.4	"1991, 2015"	1999	34	
Spirit Lk	"1117	"	Utah	SNOTEL	Daggett	10235	40.83868	-110.00527	"140401060501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.7			136	146	100	83	89	3.7	78	3	8					8.61	8	5.3	12.5	2015	2011	10	
Spratt Creek	"778	"	California	SNOTEL	Alpine	6063	38.66627	-119.81741	"160502010107	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.6	237	264	246	264	100	172	211	7.2	95	3	37			4.9	4.4	4.71	4.4	0	16.3	"2007, 2014, 2015, more"	1983	39	
Spring Creek	"2044	"	Alaska	SCAN	Matanuska-Susitna	580	61.65722	-149.12853	"190204020709	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																								
Spring Creek Divide	"779	"	Wyoming	SNOTEL	Sublette	9000	42.52516	-110.66148	"140401011001	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.2	94	100	90	97	100	61	66	-0.5	46	21	18			18.3	17.2	19.06	17.7	10.3	34.2	1981	1986	38	
Spruce Springs	"984	"	Washington	SNOTEL	Garfield	5700	46.18287	-117.54155	"170601030201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.4	88	92	115	113	100	78	78	1.4	78	5	14			14.1	13.5	10.82	11	1.3	22.3	2015	2008	19	
Spud Mountain	"780	"	Colorado	SNOTEL	San Juan	10660	37.69866	-107.77715	"140801040202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.1	115	122	117	124	100	89	90	4.5	72	10	24			20.1	18.9	19.68	18.6	6.5	38.9	1990	1993	33	
Spur Park	"781	"	Montana	SNOTEL	Judith Basin	8100	46.77962	-110.62165	"100401030301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.1	111	116	102	103	100	67	69	0.5	58	23	31			15.4	14.7	16.84	16.6	7.6	29.1	1987	1972	53	
Spuzzum Creek	"1D19P	"	British Columbia	Cooperator Snow Sensors	"	"	3927	49.65	-121.65	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	43.96	43.7	10.6	73.4	2015	2007	19	
Squamish Upper	"3A25P	"	British Columbia	Cooperator Snow Sensors	"	"	4551	50.15	-123.43333	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	48.47	50	22.2	81	2005	1999	25	
Squaw Flat	"782	"	Idaho	SNOTEL	Adams	6240	44.77091	-116.24805	"170501240401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.6	141	149	142	149	100	105	101	7.8	95	3	35			16.7	15.8	16.61	15.8	6.1	30.3	1991	1999	38	
Squaw Valley G.C.	"784	"	California	SNOTEL	Placer	8013	39.18986	-120.26576	"160501020202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	50.7	122	127	129	131	100	91	102	12	74	11	29			41.6	40	39.38	38.7	7.7	84.7	1991	1997	39	
St. Lawrence Alt	"786	"	Wyoming	SNOTEL	Fremont	8620	43.03313	-109.17025	"100800020105	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	3.1	65	63	69	71	89	41	43	-1.25	26	27	9			4.8	4.9	4.47	4.35	2.1	9	"2009, 2016"	1986	36	
St. Leon Creek	"2B08P	"	British Columbia	Cooperator Snow Sensors	"	"	5978	50.43333	-117.7	"170200210000	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	31.05	31.55	0	52.2	1996	1999	24	
Stahl Peak	"787	"	Montana	SNOTEL	Lincoln	6030	48.90902	-114.86298	"170101010801	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	24.3	89	95	91	95	100	61	63	-1.15	42	26	19			27.3	25.7	26.69	25.45	12.7	47.6	1977	1991	44	
Stampede Pass	"788	"	Washington	SNOTEL	King	3850	47.27427	-121.34162	"171100130103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22.3	65	67	71	74	100	52	55	-7.7	17	31	7			34.3	33.3	31.52	30	3.9	60.5	2015	1997	37	
Stanislaus Meadow	"SLM	"	California	Cooperator Snow Sensors	Alpine	7750	38.505	-119.937	"180400100301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	30.76	28.9	6	67.6	1991	2017	31	
Starr Ridge	"789	"	Oregon	SNOTEL	Grant	5250	44.26423	-119.02162	"171200020102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.2	130	139	134	141	100	111	115	2.4	71	12	28			6.3	5.9	6.1	5.8	0	10.8	2015	1984	39	
State Lakes	"STL	"	California	Cooperator Snow Sensors	Fresno	10300	36.927	-118.574	"180300100305	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	24.72	21.5	3	54.8	1977	2017	41	
State Line	"1258	"	California	SNOTEL	Modoc	5680	41.98609	-120.71574	"180102040201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.6			185	123	96	145	165	1.6	100	1	5	Highest				4.66	7	0	8.6	2015	2019	5	
Steel Creek Park	"790	"	Utah	SNOTEL	Summit	10158	40.90862	-110.50462	"140401070203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.2	104	105	102	105	99	57	61	0.5	60	17	24			10.8	10.7	10.95	10.7	7.4	16.6	2013	1980	41	
Stevens Pass	"791	"	Washington	SNOTEL	King	3950	47.74607	-121.09288	"171100090102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	26.9	84	82	88	88	95	68	68	-3.7	32	27	13			32.1	32.9	30.7	30.6	5.8	54.6	1981	1997	39	
Stickney Mill	"792	"	Idaho	SNOTEL	Custer	7430	43.86117	-114.20902	"170402180303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.2	116	114	112	113	100	82	84	0.8	66	14	26			6.2	6.3	6.41	6.4	2	12.8	1991	2017	39	
Stillwater Creek	"793	"	Colorado	SNOTEL	Grand	8720	40.22543	-105.91977	"140100010306	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.2	93	100	91	101	98	72	78	0.05	55	16	18			6.7	6.2	6.83	6.15	2.8	10.9	1987	1997	34	
